?item	?item_label
<http://www.github.com/srebirth/entity/Q12177914>	"أبو جعفر"@ar
<http://www.github.com/srebirth/entity/Q12177994>	"أبو راقة"@ar
<http://www.github.com/srebirth/entity/Q12178277>	"أبوقمري"@ar
<http://www.github.com/srebirth/entity/Q12179247>	"أدنى نهر عطبرة"@ar
<http://www.github.com/srebirth/entity/Q12179348>	"أربعات"@ar
<http://www.github.com/srebirth/entity/Q12179468>	"أرودين"@ar
<http://www.github.com/srebirth/entity/Q12179501>	"أزرق"@ar
<http://www.github.com/srebirth/entity/Q12179858>	"أشيمتو"@ar
<http://www.github.com/srebirth/entity/Q20388479>	"أقدي"@ar
<http://www.github.com/srebirth/entity/Q12180142>	"أكمة"@ar
<http://www.github.com/srebirth/entity/Q6827212>	"أم الطيور"@ar
<http://www.github.com/srebirth/entity/Q12195067>	"أم بكول"@ar
<http://www.github.com/srebirth/entity/Q12180427>	"أم جركى"@ar
<http://www.github.com/srebirth/entity/Q12180441>	"أم دغينه"@ar
<http://www.github.com/srebirth/entity/Q12180443>	"أم دقرسي"@ar
<http://www.github.com/srebirth/entity/Q12180445>	"أم دوينة"@ar
<http://www.github.com/srebirth/entity/Q12201057>	"أم سقد"@ar
<http://www.github.com/srebirth/entity/Q12180458>	"أم سنيطة"@ar
<http://www.github.com/srebirth/entity/Q20390040>	"أم عقال"@ar
<http://www.github.com/srebirth/entity/Q20390100>	"أم كرابيج"@ar
<http://www.github.com/srebirth/entity/Q12180478>	"أم مرحي مساعد"@ar
<http://www.github.com/srebirth/entity/Q20390554>	"أمنتاقو"@ar
<http://www.github.com/srebirth/entity/Q20391306>	"أنقوري"@ar
<http://www.github.com/srebirth/entity/Q12181101>	"أوشبة"@ar
<http://www.github.com/srebirth/entity/Q20397264>	"إيماني"@ar
<http://www.github.com/srebirth/entity/Q22928914>	"ابوعريف"@ar
<http://www.github.com/srebirth/entity/Q12184376>	"البرسي الفضل"@ar
<http://www.github.com/srebirth/entity/Q12184390>	"البرقيق"@ar
<http://www.github.com/srebirth/entity/Q16118470>	"البسابير"@ar
<http://www.github.com/srebirth/entity/Q12184468>	"البشاقرة شرق"@ar
<http://www.github.com/srebirth/entity/Q16118651>	"البنوناب"@ar
<http://www.github.com/srebirth/entity/Q20401246>	"الترعة"@ar
<http://www.github.com/srebirth/entity/Q12232584>	"التكلة أولاد أحمد"@ar
<http://www.github.com/srebirth/entity/Q20405273>	"الجابراب"@ar
<http://www.github.com/srebirth/entity/Q12185403>	"الجبلاب"@ar
<http://www.github.com/srebirth/entity/Q12185903>	"الحاجاب"@ar
<http://www.github.com/srebirth/entity/Q12186465>	"الحصايا الدامر"@ar
<http://www.github.com/srebirth/entity/Q12187230>	"الدبيبة"@ar
<http://www.github.com/srebirth/entity/Q12187233>	"الدبيبة عبد الله"@ar
<http://www.github.com/srebirth/entity/Q20396629>	"الدوم"@ar
<http://www.github.com/srebirth/entity/Q12187503>	"الدوينيب"@ar
<http://www.github.com/srebirth/entity/Q12187626>	"الرارابة"@ar
<http://www.github.com/srebirth/entity/Q12187837>	"الرقل"@ar
<http://www.github.com/srebirth/entity/Q12187882>	"الرميتاب"@ar
<http://www.github.com/srebirth/entity/Q6726898>	"الزاكياب"@ar
<http://www.github.com/srebirth/entity/Q16122796>	"الزراقنة"@ar
<http://www.github.com/srebirth/entity/Q20389570>	"الزرايب"@ar
<http://www.github.com/srebirth/entity/Q12188081>	"الزرق"@ar
<http://www.github.com/srebirth/entity/Q12188177>	"الزورات"@ar
<http://www.github.com/srebirth/entity/Q12188192>	"الزيداب"@ar
<http://www.github.com/srebirth/entity/Q12188329>	"السديرة الغربية"@ar
<http://www.github.com/srebirth/entity/Q20418178>	"السليم"@ar
<http://www.github.com/srebirth/entity/Q12188618>	"السوريبة"@ar
<http://www.github.com/srebirth/entity/Q12188672>	"السيال فاطر"@ar
<http://www.github.com/srebirth/entity/Q20394809>	"السير"@ar
<http://www.github.com/srebirth/entity/Q12188969>	"الشريق"@ar
<http://www.github.com/srebirth/entity/Q12189078>	"الشمباتة"@ar
<http://www.github.com/srebirth/entity/Q16124357>	"الشويرب"@ar
<http://www.github.com/srebirth/entity/Q12189164>	"الشويرف"@ar
<http://www.github.com/srebirth/entity/Q12189267>	"الشيخاب"@ar
<http://www.github.com/srebirth/entity/Q12189452>	"الصفيراية"@ar
<http://www.github.com/srebirth/entity/Q16125436>	"العالياب"@ar
<http://www.github.com/srebirth/entity/Q12189986>	"العباسية"@ar
<http://www.github.com/srebirth/entity/Q16125498>	"العبيدية ولاية نهر النيل ،السودان"@ar
<http://www.github.com/srebirth/entity/Q20386086>	"العتامنة"@ar
<http://www.github.com/srebirth/entity/Q12190168>	"العزازة"@ar
<http://www.github.com/srebirth/entity/Q6730027>	"العقيدة المسلماب"@ar
<http://www.github.com/srebirth/entity/Q22931196>	"العلاقات السعودية السودانية"@ar
<http://www.github.com/srebirth/entity/Q26458740>	"العلاقات السودانية المغربية"@ar
<http://www.github.com/srebirth/entity/Q12190620>	"العيكورة"@ar
<http://www.github.com/srebirth/entity/Q20410413>	"الغدار"@ar
<http://www.github.com/srebirth/entity/Q12190957>	"الفريخة"@ar
<http://www.github.com/srebirth/entity/Q12191556>	"القولد"@ar
<http://www.github.com/srebirth/entity/Q20411089>	"الكاسورة"@ar
<http://www.github.com/srebirth/entity/Q12191667>	"الكتياب"@ar
<http://www.github.com/srebirth/entity/Q12191725>	"الكرفاب"@ar
<http://www.github.com/srebirth/entity/Q12191769>	"الكشامر"@ar
<http://www.github.com/srebirth/entity/Q12192013>	"اللعوتة الحجاج"@ar
<http://www.github.com/srebirth/entity/Q12192012>	"اللعوتة ود البر"@ar
<http://www.github.com/srebirth/entity/Q12192472>	"المحس"@ar
<http://www.github.com/srebirth/entity/Q20394916>	"المحمية"@ar
<http://www.github.com/srebirth/entity/Q4119840>	"المناقل"@ar
<http://www.github.com/srebirth/entity/Q20408669>	"النصوراب"@ar
<http://www.github.com/srebirth/entity/Q12194616>	"الهبيكة"@ar
<http://www.github.com/srebirth/entity/Q6738688>	"الوادي السعيد"@ar
<http://www.github.com/srebirth/entity/Q12195070>	"ام سنط"@ar
<http://www.github.com/srebirth/entity/Q12195072>	"ام شجرة"@ar
<http://www.github.com/srebirth/entity/Q6741285>	"بانت"@ar
<http://www.github.com/srebirth/entity/Q16122766>	"باو"@ar
<http://www.github.com/srebirth/entity/Q12196019>	"بتري"@ar
<http://www.github.com/srebirth/entity/Q20388546>	"بقبقت"@ar
<http://www.github.com/srebirth/entity/Q12202072>	"تبج"@ar
<http://www.github.com/srebirth/entity/Q20418821>	"تبو"@ar
<http://www.github.com/srebirth/entity/Q20403892>	"تمنار"@ar
<http://www.github.com/srebirth/entity/Q1397224>	"جامع فاروق"@ar
<http://www.github.com/srebirth/entity/Q12204703>	"جبل أم على"@ar
<http://www.github.com/srebirth/entity/Q12205390>	"جزيرة ارتولى"@ar
<http://www.github.com/srebirth/entity/Q6757802>	"جزيرة اونى"@ar
<http://www.github.com/srebirth/entity/Q12205450>	"جزيرة دبلا"@ar
<http://www.github.com/srebirth/entity/Q12206255>	"جنس"@ar
<http://www.github.com/srebirth/entity/Q12206427>	"جواري"@ar
<http://www.github.com/srebirth/entity/Q20408601>	"حامد نارتي"@ar
<http://www.github.com/srebirth/entity/Q12207182>	"حجر العسل"@ar
<http://www.github.com/srebirth/entity/Q20401850>	"حلة ابراهيم"@ar
<http://www.github.com/srebirth/entity/Q4495188>	"حلفا الجديدة"@ar
<http://www.github.com/srebirth/entity/Q12208914>	"حميد"@ar
<http://www.github.com/srebirth/entity/Q6766301>	"خليوة"@ar
<http://www.github.com/srebirth/entity/Q12211355>	"دال"@ar
<http://www.github.com/srebirth/entity/Q12211824>	"دقرمس"@ar
<http://www.github.com/srebirth/entity/Q12212744>	"رأس الفيل"@ar
<http://www.github.com/srebirth/entity/Q20420256>	"زرايب"@ar
<http://www.github.com/srebirth/entity/Q12214642>	"زنقاحة"@ar
<http://www.github.com/srebirth/entity/Q12214646>	"زنقية"@ar
<http://www.github.com/srebirth/entity/Q12215065>	"ساقية العيد"@ar
<http://www.github.com/srebirth/entity/Q12215134>	"سالي"@ar
<http://www.github.com/srebirth/entity/Q12215757>	"سركيمتو"@ar
<http://www.github.com/srebirth/entity/Q29512338>	"سفارة دولة فلسطين لدى السودان"@ar
<http://www.github.com/srebirth/entity/Q12216522>	"سلم"@ar
<http://www.github.com/srebirth/entity/Q12216589>	"سلوه"@ar
<http://www.github.com/srebirth/entity/Q12217049>	"سنغي"@ar
<http://www.github.com/srebirth/entity/Q12218505>	"شرشار"@ar
<http://www.github.com/srebirth/entity/Q20388182>	"شوبا منصور"@ar
<http://www.github.com/srebirth/entity/Q12219497>	"صادنقا"@ar
<http://www.github.com/srebirth/entity/Q12220223>	"صلب"@ar
<http://www.github.com/srebirth/entity/Q12220348>	"صواردة"@ar
<http://www.github.com/srebirth/entity/Q12220448>	"صيصاب"@ar
<http://www.github.com/srebirth/entity/Q12222308>	"عاقولا"@ar
<http://www.github.com/srebirth/entity/Q12224253>	"عبود"@ar
<http://www.github.com/srebirth/entity/Q6815223>	"عدالخضر"@ar
<http://www.github.com/srebirth/entity/Q12224530>	"عدو"@ar
<http://www.github.com/srebirth/entity/Q20384950>	"عرب حاج"@ar
<http://www.github.com/srebirth/entity/Q12227216>	"عشرة مرشد"@ar
<http://www.github.com/srebirth/entity/Q12227352>	"عطب"@ar
<http://www.github.com/srebirth/entity/Q12227495>	"عكاشة"@ar
<http://www.github.com/srebirth/entity/Q12228294>	"عمارة"@ar
<http://www.github.com/srebirth/entity/Q12229690>	"غنيوة"@ar
<http://www.github.com/srebirth/entity/Q12230632>	"فركة"@ar
<http://www.github.com/srebirth/entity/Q12232128>	"قبة سليم"@ar
<http://www.github.com/srebirth/entity/Q12232572>	"قرية ابوحليمة"@ar
<http://www.github.com/srebirth/entity/Q12232594>	"قرية الحتانة"@ar
<http://www.github.com/srebirth/entity/Q12232596>	"قرية الحرة"@ar
<http://www.github.com/srebirth/entity/Q12232608>	"قرية الدبة العبدلاب"@ar
<http://www.github.com/srebirth/entity/Q6831287>	"قرية السعدوناب"@ar
<http://www.github.com/srebirth/entity/Q16118566>	"قرية السيال"@ar
<http://www.github.com/srebirth/entity/Q12232635>	"قرية الصراف"@ar
<http://www.github.com/srebirth/entity/Q12232641>	"قرية الطقيع"@ar
<http://www.github.com/srebirth/entity/Q12232648>	"قرية العشرة"@ar
<http://www.github.com/srebirth/entity/Q12232657>	"قرية الفقرا"@ar
<http://www.github.com/srebirth/entity/Q12232660>	"قرية القفيلة"@ar
<http://www.github.com/srebirth/entity/Q12232666>	"قرية الكبره"@ar
<http://www.github.com/srebirth/entity/Q12232667>	"قرية الكراديس"@ar
<http://www.github.com/srebirth/entity/Q12232671>	"قرية الكريدة"@ar
<http://www.github.com/srebirth/entity/Q12232676>	"قرية المسارعه"@ar
<http://www.github.com/srebirth/entity/Q12232697>	"قرية ام بعبيش"@ar
<http://www.github.com/srebirth/entity/Q12232717>	"قرية تنقاسي"@ar
<http://www.github.com/srebirth/entity/Q12232756>	"قرية سلقى - مسيد مار"@ar
<http://www.github.com/srebirth/entity/Q12232769>	"قرية طيبة الشيخ كمال الدين"@ar
<http://www.github.com/srebirth/entity/Q12232775>	"قرية عمارة ابيد"@ar
<http://www.github.com/srebirth/entity/Q12232776>	"قرية عمارة البنا"@ar
<http://www.github.com/srebirth/entity/Q12232797>	"قرية كلي"@ar
<http://www.github.com/srebirth/entity/Q6831512>	"قرية كنور"@ar
